parent_key,menu_name,menu_key,menu_path,menu_icon,menu_type,component,redirect,is_required,status
,工作台,workbench,/workbench,AppstoreOutlined,menu,./Dashboard/Workplace,,1,1
,,,,,,,,,,
,用户管理,user,/user,TeamOutlined,menu,,/user/list,0,1
user,用户列表,user.list,/user/list,UserOutlined,menu,./User/User,,0,1
user,待审核用户列表,user.pending,/user/pending,UserOutlined,menu,./User/Pending,,0,1
,,,,,,,,,,
,通知管理,notif,/notification,BellOutlined,menu,,/notification/systemNotification,0,1
notif,系统通知,notif.systemNotification,/notification/systemNotification,NotificationOutlined,menu,./notification/SystemNotification,,0,1
notif,站内信,notif.message,/notification/message,MessageOutlined,menu,./notification/Message,,0,1
notif,公告管理,notif.announcement,/notification/announcement,SoundOutlined,menu,./notification/Announcement,,0,1
,,,,,,,,,,
,应用管理,app,/app,AppstoreOutlined,menu,,/app/market,0,1
app,应用市场,app.market,/app/market,ShopOutlined,menu,./App/Market,,0,1
app,我的应用,app.my,/app/my,AppstoreOutlined,menu,./App/My,,0,1
,,,,,,,,,,
,公司管理,org,/company,ApartmentOutlined,menu,,/company/company,0,1
org,公司管理,org.company,/company/company,BankOutlined,menu,./Company/Company,,0,1
org,部门管理,org.dept,/company/department,PartitionOutlined,menu,./Company/Department,,0,1
,,,,,,,,,,
,菜单管理,menu,/menu,BlockOutlined,menu,,/menu/role,0,1
menu,角色管理,menu.role,/menu/role,ProfileOutlined,menu,./Menu/Role,,0,1
menu,菜单管理,menu.menu,/menu/menu,BlockOutlined,menu,./Menu/Menu,,0,1
,,,,,,,,,,
,系统管理,system,/system,SettingOutlined,menu,,/system/admin,0,1
system,管理员列表,system.admin,/system/admin,UserOutlined,menu,./System/Admin,,0,1
system,数据字典,system.dict,/system/dict,BookOutlined,menu,./System/Dict,,0,1
system,数据字典（树状）,system.dictTree,/system/dictTree,BookOutlined,menu,./System/DictTree,,0,1
system,系统日志,system.log,/system/log,FileTextOutlined,menu,./System/Log,,0,1
